X	Y	T	NOAA NCEP CPC GMSM w
degree_east	degree_north	months since 1960-01-01	mm
   -95.25000    	    43.25000    	    271.5000    	    439.6551    
   -94.75000    	    43.25000    	    271.5000    	    468.8447    
   -94.25000    	    43.25000    	    271.5000    	    447.2465    
   -93.75000    	    43.25000    	    271.5000    	    429.2795    
   -93.25000    	    43.25000    	    271.5000    	    441.3563    
   -92.75000    	    43.25000    	    271.5000    	    445.1683    
   -92.25000    	    43.25000    	    271.5000    	    452.1781    
   -91.75000    	    43.25000    	    271.5000    	    448.5027    
   -91.25000    	    43.25000    	    271.5000    	    424.7189    
   -95.75000    	    40.25000    	    272.5000    	    464.8700    
   -95.25000    	    40.25000    	    272.5000    	    490.4185    
   -94.75000    	    40.25000    	    272.5000    	    527.2827    
   -94.25000    	    40.25000    	    272.5000    	    520.8148    
   -93.75000    	    40.25000    	    272.5000    	    547.2843    
   -93.25000    	    40.25000    	    272.5000    	    573.5613    
   -92.75000    	    40.25000    	    272.5000    	    586.6442    
   -92.25000    	    40.25000    	    272.5000    	    531.8264    
   -91.75000    	    40.25000    	    272.5000    	    451.2326    
   -91.25000    	    40.25000    	    272.5000    	    439.9866    
   -95.75000    	    40.75000    	    272.5000    	    459.6604    
   -95.25000    	    40.75000    	    272.5000    	    495.3874    
   -94.75000    	    40.75000    	    272.5000    	    523.5207    
   -94.25000    	    40.75000    	    272.5000    	    521.1772    
   -93.75000    	    40.75000    	    272.5000    	    540.5514    
   -93.25000    	    40.75000    	    272.5000    	    573.4290    
   -92.75000    	    40.75000    	    272.5000    	    565.4546    
   -92.25000    	    40.75000    	    272.5000    	    510.4368    
   -91.75000    	    40.75000    	    272.5000    	    476.4576    
   -91.25000    	    40.75000    	    272.5000    	    474.0558    
   -95.75000    	    41.25000    	    272.5000    	    438.2245    
   -95.25000    	    41.25000    	    272.5000    	    459.6519    
   -94.75000    	    41.25000    	    272.5000    	    472.9904    
   -94.25000    	    41.25000    	    272.5000    	    476.2136    
   -93.75000    	    41.25000    	    272.5000    	    507.9127    
   -93.25000    	    41.25000    	    272.5000    	    545.4066    
   -92.75000    	    41.25000    	    272.5000    	    523.4139    
   -92.25000    	    41.25000    	    272.5000    	    486.7216    
   -91.75000    	    41.25000    	    272.5000    	    463.3398    
   -91.25000    	    41.25000    	    272.5000    	    469.5035    
   -95.75000    	    41.75000    	    272.5000    	    438.5578    
   -95.25000    	    41.75000    	    272.5000    	    443.7212    
   -94.75000    	    41.75000    	    272.5000    	    451.3949    
   -94.25000    	    41.75000    	    272.5000    	    449.0585    
   -93.75000    	    41.75000    	    272.5000    	    449.3912    
   -93.25000    	    41.75000    	    272.5000    	    459.3258    
   -92.75000    	    41.75000    	    272.5000    	    453.6659    
   -92.25000    	    41.75000    	    272.5000    	    428.1120    
   -91.75000    	    41.75000    	    272.5000    	    458.8706    
   -91.25000    	    41.75000    	    272.5000    	    462.4795    
   -95.75000    	    42.25000    	    272.5000    	    437.4842    
   -95.25000    	    42.25000    	    272.5000    	    479.1480    
   -94.75000    	    42.25000    	    272.5000    	    460.1700    
   -94.25000    	    42.25000    	    272.5000    	    449.4677    
   -93.75000    	    42.25000    	    272.5000    	    442.8844    
   -93.25000    	    42.25000    	    272.5000    	    438.9113    
   -92.75000    	    42.25000    	    272.5000    	    423.2126    
   -92.25000    	    42.25000    	    272.5000    	    419.4120    
   -91.75000    	    42.25000    	    272.5000    	    446.4117    
   -91.25000    	    42.25000    	    272.5000    	    449.3453    
   -95.75000    	    42.75000    	    272.5000    	    388.0065    
   -95.25000    	    42.75000    	    272.5000    	    481.8548    
   -94.75000    	    42.75000    	    272.5000    	    460.2842    
   -94.25000    	    42.75000    	    272.5000    	    438.2627    
   -93.75000    	    42.75000    	    272.5000    	    439.0722    
   -93.25000    	    42.75000    	    272.5000    	    426.8954    
   -92.75000    	    42.75000    	    272.5000    	    415.1740    
   -92.25000    	    42.75000    	    272.5000    	    425.5439    
   -91.75000    	    42.75000    	    272.5000    	    442.0161    
   -91.25000    	    42.75000    	    272.5000    	    415.8970    
   -95.75000    	    43.25000    	    272.5000    	    410.5423    
   -95.25000    	    43.25000    	    272.5000    	    456.9570    
   -94.75000    	    43.25000    	    272.5000    	    482.3501    
   -94.25000    	    43.25000    	    272.5000    	    447.9013    
   -93.75000    	    43.25000    	    272.5000    	    428.4475    
   -93.25000    	    43.25000    	    272.5000    	    444.5139    
   -92.75000    	    43.25000    	    272.5000    	    439.4901    
   -92.25000    	    43.25000    	    272.5000    	    437.9450    
   -91.75000    	    43.25000    	    272.5000    	    431.8432    
   -91.25000    	    43.25000    	    272.5000    	    405.4070    
   -95.75000    	    40.25000    	    273.5000    	    426.4425    
   -95.25000    	    40.25000    	    273.5000    	    453.9673    
   -94.75000    	    40.25000    	    273.5000    	    502.2812    
   -94.25000    	    40.25000    	    273.5000    	    502.1085    
   -93.75000    	    40.25000    	    273.5000    	    522.1166    
   -93.25000    	    40.25000    	    273.5000    	    538.8190    
   -92.75000    	    40.25000    	    273.5000    	    542.4113    
   -92.25000    	    40.25000    	    273.5000    	    495.2593    
   -91.75000    	    40.25000    	    273.5000    	    429.2826    
   -91.25000    	    40.25000    	    273.5000    	    423.9179    
   -95.75000    	    40.75000    	    273.5000    	    420.4899    
   -95.25000    	    40.75000    	    273.5000    	    464.7344    
   -94.75000    	    40.75000    	    273.5000    	    508.9471    
   -94.25000    	    40.75000    	    273.5000    	    510.1965    
   -93.75000    	    40.75000    	    273.5000    	    523.0366    
   -93.25000    	    40.75000    	    273.5000    	    542.2759    
   -92.75000    	    40.75000    	    273.5000    	    528.5624    
   -92.25000    	    40.75000    	    273.5000    	    484.2057    
   -91.75000    	    40.75000    	    273.5000    	    456.5476    
   -91.25000    	    40.75000    	    273.5000    	    451.4463    
   -95.75000    	    41.25000    	    273.5000    	    422.1268    
   -95.25000    	    41.25000    	    273.5000    	    450.6898    
   -94.75000    	    41.25000    	    273.5000    	    473.4162    
   -94.25000    	    41.25000    	    273.5000    	    474.5819    
   -93.75000    	    41.25000    	    273.5000    	    497.8421    
   -93.25000    	    41.25000    	    273.5000    	    526.3257    
   -92.75000    	    41.25000    	    273.5000    	    514.3519    
   -92.25000    	    41.25000    	    273.5000    	    479.0641    
   -91.75000    	    41.25000    	    273.5000    	    451.5140    
   -91.25000    	    41.25000    	    273.5000    	    450.0243    
   -95.75000    	    41.75000    	    273.5000    	    444.5651    
   -95.25000    	    41.75000    	    273.5000    	    443.5734    
   -94.75000    	    41.75000    	    273.5000    	    448.7483    
   -94.25000    	    41.75000    	    273.5000    	    446.4624    
   -93.75000    	    41.75000    	    273.5000    	    448.4788    
   -93.25000    	    41.75000    	    273.5000    	    461.4319    
   -92.75000    	    41.75000    	    273.5000    	    463.9195    
   -92.25000    	    41.75000    	    273.5000    	    431.6939    
   -91.75000    	    41.75000    	    273.5000    	    450.1042    
   -91.25000    	    41.75000    	    273.5000    	    449.9599    
   -95.75000    	    42.25000    	    273.5000    	    453.2712    
   -95.25000    	    42.25000    	    273.5000    	    484.3587    
   -94.75000    	    42.25000    	    273.5000    	    460.1470    
   -94.25000    	    42.25000    	    273.5000    	    445.8114    
   -93.75000    	    42.25000    	    273.5000    	    443.7021    
   -93.25000    	    42.25000    	    273.5000    	    448.2442    
   -92.75000    	    42.25000    	    273.5000    	    430.3644    
   -92.25000    	    42.25000    	    273.5000    	    417.3513    
   -91.75000    	    42.25000    	    273.5000    	    438.2976    
